,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
282,citroen,250000,2008,c4,174000,бензин,1.6,at,хетчбэк,передний,109,не битый
283,lada,280000,2013,kalina,36000,бензин,1.6,mt,хетчбэк,передний,87,не битый
284,renault,900000,2017,duster,45000,бензин,2.0,mt,внедорожник,полный,143,не битый
285,toyota,299000,1996,ipsum,300000,бензин,2.0,at,минивэн,передний,135,не битый
286,subaru,150000,2004,legacy,145000,бензин,2.0,at,универсал,полный,180,не битый
287,suzuki,199000,2000,grand vitara,197000,бензин,2.5,at,внедорожник,полный,158,не битый
288,lada,310000,1999,4x4 (нива),37500,бензин,1.7,mt,внедорожник,полный,79,не битый
289,ваз,35000,1995,2106,70000,бензин,1.3,mt,седан,задний,69,не битый
290,ваз,50000,1988,2109,85768,бензин,1.5,mt,хетчбэк,передний,68,не битый
291,kia,460000,2006,sportage,223000,дизель,2.0,at,внедорожник,полный,112,не битый
292,toyota,2300000,2011,land cruiser,154000,дизель,4.5,at,внедорожник,полный,235,не битый
293,mazda,225000,1999,premacy,240000,бензин,1.8,at,минивэн,полный,135,не битый
294,toyota,1450000,2006,land cruiser prado,152000,бензин,4.0,at,внедорожник,полный,249,не битый
295,ваз,50000,2000,2109,150000,бензин,1.5,mt,хетчбэк,передний,68,не битый
296,chevrolet,350000,2007,niva,147000,бензин,1.7,mt,внедорожник,полный,80,не битый
297,nissan,320000,2000,serena,138000,дизель,2.5,at,минивэн,полный,150,не битый
298,ваз,145000,2010,2114 samara,146500,бензин,1.6,mt,хетчбэк,передний,81,не битый
299,renault,830000,2016,captur,25500,бензин,0.9,mt,внедорожник,передний,90,не битый
300,jeep,235000,1988,cherokee,150000,бензин,4.0,mt,внедорожник,полный,190,не битый
301,nissan,179000,1998,maxima,300000,бензин,2.0,mt,седан,передний,140,не битый
302,toyota,260000,1996,corona premio,203000,бензин,2.0,at,седан,полный,140,не битый
303,ваз,45000,2003,21099,180000,бензин,1.5,mt,седан,передний,78,не битый
304,subaru,200000,2001,traviq,225000,бензин,2.2,at,минивэн,передний,147,не битый
305,газ,212000,2003,ель 3302,350000,бензин,2.4,mt,фургон,задний,140,не битый
306,suzuki,585000,2005,grand vitara,158500,бензин,2.0,mt,внедорожник,полный,140,не битый
307,ваз,75000,1999,2109,185000,бензин,1.5,mt,хетчбэк,передний,72,не битый
308,ssangyong,350000,2008,actyon sports,173000,дизель,2.0,at,пикап,полный,145,не битый
309,toyota,499000,2001,mark ii,400000,бензин,2.0,at,седан,задний,160,не битый
